reference,kubepoddeviceinfo,_updatetime,int8,NOT NULL,
reference,kubeinginfo,_ingid,serial,NOT NULL,PRIMARY KEY
reference,kubeinginfo,_nsid,int8,NOT NULL,
reference,kubeinginfo,_ingname,text,NOT NULL,
reference,kubeinginfo,_uid,text,NOT NULL,
reference,kubeinginfo,_starttime,int8,NOT NULL,
reference,kubeinginfo,_classname,text,NULL
reference,kubeinginfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubeinginfo,_createdtime,int8,NOT NULL,
reference,kubeinginfo,_updatetime,int8,NOT NULL,
reference,kubeinghostinfo,_inghostid,serial,NOT NULL,PRIMARY KEY
reference,kubeinghostinfo,_ingid,int8,NOT NULL,
reference,kubeinghostinfo,_backendtype,text,NOT NULL,
reference,kubeinghostinfo,_backendname,text,NULL
reference,kubeinghostinfo,_hostname,text,NOT NULL,DEFAULT '*'
reference,kubeinghostinfo,_pathtype,text,NULL
reference,kubeinghostinfo,_path,text,NULL
reference,kubeinghostinfo,_svcport,int8,NULL
reference,kubeinghostinfo,_rscapigroup,text,NULL
reference,kubeinghostinfo,_rsckind,text,NULL
reference,kubeinghostinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubeinghostinfo,_createdtime,int8,NOT NULL,
reference,kubeinghostinfo,_updatetime,int8,NOT NULL,
reference,kubesvcinfo,_svcid,serial,NOT NULL,PRIMARY KEY
reference,kubesvcinfo,_nsid,int8,NOT NULL,
reference,kubesvcinfo,_svcname,text,NOT NULL,
reference,kubesvcinfo,_uid,text,NOT NULL,
reference,kubesvcinfo,_starttime,int8,NOT NULL,
reference,kubesvcinfo,_servicetype,text,NULL
reference,kubesvcinfo,_clusterip,text,NULL
reference,kubesvcinfo,_ports,text,NULL
reference,kubesvcinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubesvcinfo,_createdtime,int8,NOT NULL,
reference,kubesvcinfo,_updatetime,int8,NOT NULL,
reference,kubedeployinfo,_deployid,serial,NOT NULL,PRIMARY KEY
reference,kubedeployinfo,_nsid,int8,NOT NULL,
reference,kubedeployinfo,_deployname,text,NOT NULL,
reference,kubedeployinfo,_uid,text,NOT NULL,
reference,kubedeployinfo,_starttime,int8,NOT NULL,
reference,kubedeployinfo,_serviceaccount,text,NULL
reference,kubedeployinfo,_replicas,int8,DEFAULT 0
reference,kubedeployinfo,_updatedrs,int8,DEFAULT 0
reference,kubedeployinfo,_readyrs,int8,DEFAULT 0
reference,kubedeployinfo,_availablers,int8,DEFAULT 0
reference,kubedeployinfo,_observedgen,int8,DEFAULT 0
reference,kubedeployinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubedeployinfo,_createdtime,int8,NOT NULL,
reference,kubedeployinfo,_updatetime,int8,NOT NULL,
reference,kubestsinfo,_stsid,serial,NOT NULL,PRIMARY KEY
reference,kubestsinfo,_nsid,int8,NOT NULL,
reference,kubestsinfo,_stsname,text,NOT NULL,
reference,kubestsinfo,_uid,text,NOT NULL,
reference,kubestsinfo,_starttime,int8,NOT NULL,
reference,kubestsinfo,_serviceaccount,text,NULL
reference,kubestsinfo,_replicas,int8,DEFAULT 0
reference,kubestsinfo,_readyrs,int8,DEFAULT 0
reference,kubestsinfo,_availablers,int8,DEFAULT 0
reference,kubestsinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubestsinfo,_createdtime,int8,NOT NULL,
reference,kubestsinfo,_updatetime,int8,NOT NULL,
reference,kubedsinfo,_dsid,serial,NOT NULL,PRIMARY KEY
reference,kubedsinfo,_nsid,int8,NOT NULL,
reference,kubedsinfo,_dsname,text,NOT NULL,
reference,kubedsinfo,_uid,text,NOT NULL,
reference,kubedsinfo,_starttime,int8,NOT NULL,
reference,kubedsinfo,_serviceaccount,text,NULL
reference,kubedsinfo,_current,int8,DEFAULT 0
reference,kubedsinfo,_desired,int8,DEFAULT 0
reference,kubedsinfo,_ready,int8,DEFAULT 0
reference,kubedsinfo,_updated,int8,DEFAULT 0
reference,kubedsinfo,_available,int8,DEFAULT 0
reference,kubedsinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubedsinfo,_createdtime,int8,NOT NULL,
reference,kubedsinfo,_updatetime,int8,NOT NULL,
reference,kubersinfo,_rsid,serial,NOT NULL,PRIMARY KEY
reference,kubersinfo,_nsid,int8,NOT NULL,
reference,kubersinfo,_rsname,text,NOT NULL,
reference,kubersinfo,_uid,text,NOT NULL,
reference,kubersinfo,_starttime,int8,NOT NULL,
reference,kubersinfo,_replicas,int8,DEFAULT 0
